farm_id,farm_name,supplier_name,category,item_name,estimated_cost_usd,days_to_planting,supplier_lead_days,urgency,recommended_order_date
1,Mazowe Valley Farm,AgriSupply Co.,Fertilizer,Item-147,5432,30,17,MEDIUM,2026-04-29
1,Mazowe Valley Farm,ChemTech,Equipment,Item-827,31623,1,8,CRITICAL,2026-04-30
1,Mazowe Valley Farm,AgriSupply Co.,Fertilizer,Item-771,38257,1,12,CRITICAL,2026-04-08
2,Headlands Cotton Block,ChemTech,Chemicals,Item-512,42297,19,4,HIGH,2026-04-14
2,Headlands Cotton Block,AgriSupply Co.,Fuel,Item-465,9515,56,19,LOW,2026-04-22
2,Headlands Cotton Block,ChemTech,Fuel,Item-533,11786,12,13,HIGH,2026-04-30
3,Bindura Soya Farm,AgriSupply Co.,Seeds,Item-392,37813,4,12,CRITICAL,2026-04-20
3,Bindura Soya Farm,SeedCo,Fuel,Item-329,13983,33,18,MEDIUM,2026-04-07
3,Bindura Soya Farm,AgriSupply Co.,Spare Parts,Item-303,35171,1,17,CRITICAL,2026-04-24
3,Bindura Soya Farm,FarmEquip,Seeds,Item-160,34369,27,14,MEDIUM,2026-04-19
4,Karoi Maize Cooperative,Total Energies,Chemicals,Item-280,25284,59,16,LOW,2026-04-26
4,Karoi Maize Cooperative,Tractor Centre,Fuel,Item-919,12838,10,13,HIGH,2026-04-21
4,Karoi Maize Cooperative,ChemTech,Spare Parts,Item-921,21766,20,19,HIGH,2026-04-18
5,Mvurwi Mixed Farm,SeedCo,Fertilizer,Item-585,28957,30,13,MEDIUM,2026-04-21
5,Mvurwi Mixed Farm,SeedCo,Equipment,Item-913,47608,51,5,LOW,2026-04-09
5,Mvurwi Mixed Farm,Total Energies,Seeds,Item-988,9242,16,19,HIGH,2026-04-18
5,Mvurwi Mixed Farm,FarmEquip,Seeds,Item-162,23880,26,14,MEDIUM,2026-04-09
5,Mvurwi Mixed Farm,Total Energies,Seeds,Item-779,38957,43,11,LOW,2026-04-18
6,Chiredzi Sugar Estate,SeedCo,Seeds,Item-717,37839,16,13,HIGH,2026-04-15
6,Chiredzi Sugar Estate,AgriSupply Co.,Fertilizer,Item-571,25125,13,15,HIGH,2026-04-24
6,Chiredzi Sugar Estate,AgriSupply Co.,Chemicals,Item-665,29405,7,20,CRITICAL,2026-05-04
6,Chiredzi Sugar Estate,Zim Fert,Seeds,Item-341,45138,23,3,MEDIUM,2026-04-19
6,Chiredzi Sugar Estate,SeedCo,Fertilizer,Item-865,36615,16,18,HIGH,2026-04-19
7,Beitbridge Citrus Farm,SeedCo,Chemicals,Item-948,45409,53,8,LOW,2026-04-16
7,Beitbridge Citrus Farm,AgriSupply Co.,Seeds,Item-948,15846,49,14,LOW,2026-04-28
7,Beitbridge Citrus Farm,FarmEquip,Spare Parts,Item-334,14187,54,6,LOW,2026-04-08
7,Beitbridge Citrus Farm,Tractor Centre,Fertilizer,Item-756,30689,58,6,LOW,2026-04-28
7,Beitbridge Citrus Farm,ChemTech,Fertilizer,Item-632,47321,45,13,LOW,2026-04-25
7,Beitbridge Citrus Farm,Total Energies,Fertilizer,Item-399,5671,3,12,CRITICAL,2026-04-13
8,Marondera Dairy,Zim Fert,Fuel,Item-727,6074,4,6,CRITICAL,2026-04-20
8,Marondera Dairy,ChemTech,Chemicals,Item-685,37430,17,12,HIGH,2026-04-29
8,Marondera Dairy,Zim Fert,Fertilizer,Item-390,47815,23,14,MEDIUM,2026-04-06
8,Marondera Dairy,SeedCo,Equipment,Item-566,48292,3,3,CRITICAL,2026-04-09
8,Marondera Dairy,Zim Fert,Seeds,Item-487,35960,29,16,MEDIUM,2026-04-23
8,Marondera Dairy,AgriSupply Co.,Spare Parts,Item-275,9482,27,11,MEDIUM,2026-04-28
8,Marondera Dairy,Total Energies,Equipment,Item-270,47718,4,11,CRITICAL,2026-05-01
9,Kwekwe Grain Farm,SeedCo,Fertilizer,Item-640,19318,38,5,LOW,2026-04-06
9,Kwekwe Grain Farm,Total Energies,Spare Parts,Item-246,25141,52,19,LOW,2026-04-27
9,Kwekwe Grain Farm,AgriSupply Co.,Fertilizer,Item-990,45077,14,14,HIGH,2026-04-21
9,Kwekwe Grain Farm,Total Energies,Spare Parts,Item-596,14611,33,8,MEDIUM,2026-04-12
9,Kwekwe Grain Farm,AgriSupply Co.,Equipment,Item-424,19021,33,18,MEDIUM,2026-04-30
10,Mutare Tea Estate,ChemTech,Seeds,Item-571,43985,13,11,HIGH,2026-04-18
